name,year,gdp_pc
Japan,1960,478.995340162869
Japan,1961,563.586759838827
Japan,1962,633.640315173776
Japan,1963,717.866915230894
Japan,1964,835.657252484116
Japan,1965,919.776688184802
Japan,1966,1058.50356090902
Japan,1967,1228.9092104006
Japan,1968,1450.61965234374
Japan,1969,1669.09819990781
Japan,1970,2037.55990148865
Japan,1971,2272.07780220778
Japan,1972,2967.04199623728
Japan,1973,3997.84112039422
Japan,1974,4353.82435517488
Japan,1975,4659.12011498931
Japan,1976,5197.80669676619
Japan,1977,6335.78762668458
Japan,1978,8821.84349179091
Japan,1979,9105.13609673044
Japan,1980,9465.3797140302
Japan,1981,10361.3230580189
Japan,1982,9578.11380327871
Japan,1983,10425.4068209429
Japan,1984,10984.8658284904
Japan,1985,11584.6493269017
Japan,1986,17111.8537325384
Japan,1987,20745.2520919399
Japan,1988,25051.8543154389
Japan,1989,24813.2993783357
Japan,1990,25359.34702031
Japan,1991,28925.0415756881
Japan,1992,31464.549046228
Japan,1993,35765.9140886748
Japan,1994,39268.5668686204
Japan,1995,43440.3678678967
Japan,1996,38436.9263119118
Japan,1997,35021.7190917159
Japan,1998,31902.7670955137
Japan,1999,36026.5560750168
Japan,2000,38532.040875293504
Japan,2001,33846.4656414342
Japan,2002,32289.3505360726
Japan,2003,34808.3909176613
Japan,2004,37688.7223359406
Japan,2005,37217.648727917
Japan,2006,35433.988963743
Japan,2007,35275.2284312667
Japan,2008,39339.2975731826
Japan,2009,40855.1756354596
Japan,2010,44507.6763859172
Japan,2011,48167.9972684965
Japan,2012,48603.4766497749
Japan,2013,40454.4474578903
Japan,2014,38109.4121125573
Japan,2015,34567.7456750995
Japan,2016,38972.3406391468
Japan,2017,38428.0973168279
Japan,2018,NA
